Timestamp	Places_from_VLOC	Labels_in_tile	Image	Tileset	Key A	Key B	Key C	Key D
2023-07-09 06:43:13				0XD2014	0X14	0X410000	0X10000	0X2003400
2023-07-09 06:43:13				0X142014	0X14	0X410000	0X10000	0X2005000
2023-07-09 06:43:13		Antarctica, Australia, Indian Ocean, Oceania, Southern Ocean, Southern Ocean		0X12014	0X14	0X410000	0X10000	0X2000400
2023-07-09 06:43:14				0X412015	0X74E10815		0X104000	
2023-07-10 10:50:31		1, 2, 3, B1, B2, Basement 1, Basement 2, Level 1, Level 2, Level 3, Westfield Booragoon, Westfield Carousel, Booragoon, Carousel, David Jones, Hoyts, Kmart, Kmart - Booragoon, MYER, MYER, Target, Westfield Booragoon, Westfield Carousel		0X1E2014	0X14	-0X2DB60000	0X2600000	0X2007800
2023-07-09 06:45:24		Becher Point, Point Peron, Robert Point, Woodman Point, Shoalwater Islands Marine Park		0XD2014	0X14	0X69090000	0X1300000	0X2003400
2023-07-09 06:45:24		Helena National Park, Jarrahdale State Forest, Mount Cooke, Wandoo National Park, Midgegooroo National Park, Monadnocks Conservation Park, Serpentine National Park		0XD2014	0X14	0X69490000	0X1300000	0X2003400
2023-07-09 06:45:24		14, 20, 30, 40		0X142014	0X14	0X69490000	0X1300000	0X2005000
2023-07-09 06:45:24		1, 13, 14, 14, 18, 2, 20, 202, 204, 22, 3, 30, 4, 5, 51, 53, 6, 61, 65, 7, 71, 8, 94, Penguin Island Ferry, Rottnest Express, Rottnest Fast Ferries, Transperth		0X142014	0X14	0X69090000	0X1300000	0X2005000
2023-07-09 06:45:24		Armadale, Baldivis, Bannister, Bannister River, Bell Brook, Beraking Brook, Big Brook, Boddington, Boddington, Byford, Canning River, Canning Vale, Cockburn Central, Cockburn Sound, Cookernup, Coolup, Cottesloe, Crossman, Crossman River, Dale River, Dandalup River, Darkin River, Dawesville, Dwellingup, Endeavour Island, Fairbridge, Falcon, Flint, Forrestfield, Fourteen Mile Brook, Fremantle, Garden Island, Geographe Bay, Hamilton Hill, Harvey, Harvey Estuary, Harvey River, Helena River, Herron, Hoffman, Hopeland, Hotham River, Jarrahdale, Jelcobine, Kalamunda, Keysbrook, Lake Clifton, Lake Clifton, Lake Preston, Lesmurdie, Maddington, Mandurah, Marradong, Marrinup, Mosman Park, Mount Cooke, Mount Observation, Mundaring Weir, Mundijong, Murray River, Myara, Nambeelup, Nanga Brook, Nirimba, North Bannister, North Dandalup, North Dandalup River, Peel Inlet, Perth, Pinjarra, Point Grey, Port Kennedy, Preston Beach, Quindanning, Rockingham, Rottnest, Secret Harbour, Serpentine, Serpentine River, South Dandalup River, South Yunderup, Southern River, Success, Swan River, Talbot, Talbot Brook, Thornlie, Uduc, Wandering, Wandering Brook, Waroona, Wellard, West Coolup, Westdale, Whittaker, Williams River, Wungong Brook, Yarloop		0X12014	0X14	0X34880000	0X980000	0X2000400
2023-07-09 06:45:26				0X142014	0X14	0XC20000	0X20000	0X2005000
2023-07-09 06:45:26				0X142014	0X14	0XC20000	0X10000	0X2005000
2023-07-09 06:45:26		Cape Johnson Depth, Challenger Deep, Ramapo Deep, Vityaz Depth, 贡嘎山		0XD2014	0X14	0XC20000	0X10000	0X2003400
2023-07-09 06:45:26		Aoraki / Mount Cook, Mount Kosciuszko, Mount Wilhelm, Puncak Jaya		0XD2014	0X14	0XC20000	0X20000	0X2003400
2023-07-09 06:45:26		Australia, Australia, Barwon River, Coral Sea, Darling River, Lachlan River, Macintyre River, Melanesia, Melbourne, Murray River, Murray River, Murray River, Murray River, Murrumbidgee River, New Zealand, Oceania, Papua New Guinea, Solomon Islands, Southern Ocean, Southern Ocean, Sydney, Tasman Sea, Daerah Khusus Ibukota Jakarta, Indonesia		0X12014	0X14	0XC20000	0X20000	0X2000400
2023-07-09 06:45:26		গঙ্গা নদী, འབྲུག་ཡུལ་, Bangladesh, Brahmaputra, Brahmaputra, Dihang, Gobi Desert, Guam, Guam (U.S.), Himalaya, Manila, Melanesia, Micronesia, Myanmar, Myanmar (Burma), Philippine Sea, Philippines, Taiwan Strait, Laos, 日本, 東京, ព្រះរាជាណាចក្រកម្ពុជា, មេគង្គ, មេគង្គ, 대한민국, 대한민국, 북한, 북한, 서울특별시, 서울특별시, ແມ່ນ້ຳຂອງ, ແມ່ນ້ຳຂອງ, ແມ່ນ້ຳຂອງ, ແມ່ນ້ຳຂອງ, ແມ່ນ້ຳຂອງ, ແມ່ນ້ຳຂອງ, Монгол улс, Сэлэнгэ, Malaysia, แม่น้ำรวก, မေခမြစ်, မေခမြစ်, မေခမြစ်, မဲခေါင်မြစ်, မဲခေါင်မြစ်, မဲခောင္‌မ္ရစ္, သံလြင္, ဧရာဝတီမြစ်, ဧရာဝတီမြစ်, ဧရာဝတီမြစ်, ဧရာဝတီမြစ်, Lesser Yenisei, Алдан, Амур, Амур, Ангара, Аргунь, Аргунь, Енисей, Енисей, Енисей, Енисей, Колыма, Кызыл Хем, Лена, Лена, Лена, Лена, Малый Енисей, Нижняя Тунгуска, Нижняя Тунгуска, Россия, Селенга, Селенга, Селенга, Шишхид гол, กรุงเทพมหานคร, กรุงเทพมหานคร, ประเทศไทย, Hồ Chí Minh, Mê Kông, Việt Nam, Việt Nam, Zanaqu, 上海市, 东海水道, 中华人民共和国, 中国, 北京, 喀拉额尔齐斯河, 容桂水道, 扎曲, 横门水道, 沱沱河, 沱沱河, 澜沧江, 澜沧江, 澜沧江, 澜沧江, 澜沧江, 磨刀门水道, 西江, 西江, 西江, 西江, 通天河, 重庆市, 金沙江, 长江, 长江, 雅鲁藏布江, 雅鲁藏布江, 額爾古納河, 額爾古納河, 額爾古納河, 鸡鸦水道, 黄河, 黄河, 黑龙江, 北京市, 台灣, 香港, རྒྱལ་མོ་རྔུལ་ཆུ།		0X12014	0X14	0XC20000	0X10000	0X2000400
2023-07-09 06:45:26		JANDAKOT REGIONAL PARK, Jervoise Bay Boat Harbour, Swan Estuary Marine Park, Woodman Point, Beeliar Regional Park, Byford, Canning River Regional Park, Curtin University, Jandakot Airport (JAD), Kings Park and Botanic Garden, Manning Park, Murdoch University, Woodman Point Regional Park		0XD2014	0X14	-0X2DB60000	0X2600000	0X2003400
2023-07-09 06:45:26		13, 13, 14, 14, 2, 20, 21, 30, 4, 11th Rd, Abbey Rd, Abernethy Rd, Albany Highway, Anketell Rd, Armadale Rd, Armadale Rd, Beeliar Dr, Beenyup Rd, Berrigan Dr, Bombay Bvd, Casuarina Rd, Champion Dr, Church Ave, De Haer Rd, Eighth Rd, Fifth Rd, Forrest Rd, Frankland Ave, Gibbs Rd E, Gillam Dr, Green Ave, Hammond Rd, Hopkinson Rd, Johnson Rd, Kargotich Rd, Kentucky Ct, King Rd, Kwinana Freeway, Lake Rd, Liddelow Rd, Lyon Rd, Mandogalup Rd, Midgegooroo Ave, Nicholson Rd, North Lake Rd, Orton Rd, Pilatus St, Railway Ave, Railway Ave, Ranford Rd, Ranford Rd, Rowley Rd, Russell Rd, Soldiers Rd, South Western Highway, Southern River Rd, Tapper Rd, Thomas Rd, Tonkin Hwy, Warton Rd, Wattleup Rd, Williams Rd, Wollaston Ave, Wright Rd, Wungong Rd		0X142014	0X14	-0X5B350000	0X4C10001	0X2005000
2023-07-09 06:45:27		Atwell, Aubin Grove, Banjup, Cockburn Central, Copulup Lake, Hammond Park, Jandakot, Piara Waters, Success, Treeby		0X12014	0X14	0X498C0000	0X9820003	0X2000400
2023-07-09 06:45:27		14, 14, 2, 31, Armadale Rd, Armadale Rd, Beeliar Dr, Beenyup Rd, Berrigan Dr, Gibbs Rd E, Hammond Rd, Kentucky Ct, Kwinana Freeway, Liddelow Rd, Lyon Rd, Midgegooroo Ave, Nicholson Rd, North Lake Rd, Pilatus St, Russell Rd, Tapper Rd, Warton Rd, Wright Rd		0X142014	0X14	0X498C0000	0X9820003	0X2005000
2023-07-09 06:45:27		Armadale Shopping City, Ampol, Armadale, Kelmscott, The Springs Club		0XD2014	0X14	0X49CC0000	0X9820003	0X2003400
2023-07-09 06:45:27		13, 13, 14, 20, 30, 4, 11th Rd, Abbey Rd, Albany Highway, Armadale Rd, Champion Dr, Church Ave, Eighth Rd, Fifth Rd, Forrest Rd, Gillam Dr, Green Ave, Lake Rd, Railway Ave, Railway Ave, Ranford Rd, Ranford Rd, South Western Highway, Southern River Rd, Tonkin Hwy, Warton Rd, Williams Rd, Wollaston Ave, Wungong Rd		0X142014	0X14	0X49CC0000	0X9820003	0X2005000
2023-07-09 06:45:27		Brookdale, Camillo, Canning River, Champion Lakes, Forrestdale, Forrestdale Lake, Harrisdale, Haynes, Seville Grove, Southern River, Southern River, Wright Lake, Wungong Brook		0X12014	0X14	0X49CC0000	0X9820003	0X2000400
2023-07-09 06:45:27		Banksia Eucalypt Woodland Park, Piara Nature Reserve, Cockburn Central, Cockburn Gateway Shopping City		0XD2014	0X14	0X498C0000	0X9820003	0X2003400
2023-07-09 06:45:27				0XB2014	0X14	0X270E0000	0X260A000D	0X2002C00
2023-07-09 06:45:27		14, Albi Link, Aleria Way, Allen Rd, Anstey Rd, Aquitaine Bvd, Aquitaine Bvd, Armadale Rd, Babiana Link, Banken Ct, Boudicca Dr, Broome St, Calamocha Way, Calvera Gardens, Commercial Rd, Cygnet Pl, Dartmoor St, Dew St, Dinard Way, Dod Way, Drafthorse App, Dumsday Dr, Dynasty Way, Ederle St, Fisher St, Flemming Ct, Forrest Rd, Gelderland La, Hurston St, Hypatia Bvd, Jutland Ent, Keane Rd, Leake St, Lofties St, Medici Way, Messina Way, Metz Link, Miramar Way, Mistral Cr, Modena Rd, Monticello Parkway, Moore St, Noriker Way, Oldenburg Way, Orlov La, Paraka Way, Passendale Cr, Percheron Cct, Petrona Cr, Riva Ent, Riviera Turn, St Pierre Turn, Stopes La, Street Tropez Gdn, Swamp Rd, Terracina Parkway, Tobin St, Tordera Parkway, Varazze Way, Verona Rd, Vichy Cl, Villatella Gardens, Weld St, Whiffler Rd, Wirin Rd		0X142014	0X14	0X270E0000	0X260A000D	0X2005000
2023-07-09 06:45:27		14, 31, Albavale Rd, Anzio Rd, Appleton Rd, Aquila Loop, Armadale Rd, Aspiri Promenade, Barcelona Rd, Bartram Rd, Bellas Cct, Berkshire App, Beukers Way, Boas La, Breccia Grove, Bulb Way, Calais La, Calella Loop, Calvera Gardens, Camberwell Vista, Clause Way, Claystone Loop, Cloutt La, Coquina Ch, Dempsey Rd, Dunite Rd, Dwall La, Epping La, Ethridge St, Fairweather Dr, Fanshawe Bvd, Ficus Way, Flindell Way, Gabbro La, Gibbs Rd E, Girona St, Gladalan Way, Gossan Ch, Grapestone Rd, Greywacke Ent, Hames Way, Hawter Way, Hickman Dr, Hurlingham Way, Hyacinth Dr, Interdominion View, Kenyta St, Kitley Way, Laming Way, Lignite Ave, Livorno Bvd, Marl Way, Menner Way, Messina Way, Minette Rd, Modena Rd, Monticello Parkway, Moraba Way, Nicholson Rd, Norite Rd, Novelli Pde, Oliva App, Parma La, Pegus Way, Pyke Way, Rhone Way, Ritter App, Riva Ent, Riviera Turn, Rossiter Ave, Ruffle App, Schonell Way, Shale Ct, Siena App, Skeet Rd, Sorrento Rd, Sovite Rd, Summer Rd, Sunray Ave, Swamp Rd, Taylor Rd, Terracina Parkway, Topiary Ave, Torridge App, Toulon Mews, Trusty Way, Tuff Way, Wildflower View, Wright Rd		0X142014	0X14	0X26CE0000	0X260A000D	0X2005000
2023-07-09 06:45:27		Alfred Skeet Oval, Forrestdale Primary School, Forrestdale Sporting Association, St John Bosco College, William Skeet Oval		0XD2014	0X14	0X270E0000	0X260A000D	0X2003400
2023-07-09 06:45:27				0XB2014	0X14	0X26CE0000	0X260A000D	0X2002C00
2023-07-09 06:45:27				0X12014	0X14	0X26CE0000	0X260A000D	0X2000400
2023-07-09 06:45:27		Forrestdale Lake		0X12014	0X14	0X270E0000	0X260A000D	0X2000400
2023-07-09 06:45:27		Piara Nature Reserve, Aspiri Primary School, Vibe Petroleum		0XD2014	0X14	0X26CE0000	0X260A000D	0X2003400
2023-07-09 06:45:35				0X142014	0X14	0X1830000	0X50000	0X2005000
2023-07-09 06:45:35				0X142014	0X14	0X1830000	0X40000	0X2005000
2023-07-09 06:45:35		Australian-Antarctic Basin, Indian-Antarctic Ridge, Southeast Indian Ridge, Southern Ocean, Southern Ocean		0X12014	0X14	0X1830000	0X50000	0X2000400
2023-07-09 06:45:35		Australia, Christmas Island, Christmas Island (Aus.), Cocos (Keeling) Islands, Cocos Islands (Aus.), Darwin, Great Australian Bight, Great Australian Bight, Greater Sunda Islands, Northern Territory, Perth, South Australian Basin, Sunda Trench, Western Australia, Wharton Basin, Daerah Khusus Ibukota Jakarta, Indonesia, Kepulauan Nusa Tenggara, Kota Bandung, Kota Palembang, Kota Semarang, Kota Surabaya, Makassar, Tangerang, Timor-Leste, Timor-Leste		0X12014	0X14	0X1830000	0X40000	0X2000400
2023-07-09 06:45:35		Abrolhos Marine Park, Cape Leeuwin, Depth, Hood Point, Point D’Entrecasteaux, Western Eyre Marine Park, Cape Arid National Park, Fitzgerald River National Park, Great Australian Bight Marine Park, Karijini National Park, Karlamilyi National Park, Mamungari Conservation Park, Nullarbor National Park, South-West Corner Marine Park, Yellabinna Regional Reserve		0XD2014	0X14	0X3440000	0X90000	0X2003400
2023-07-09 06:45:35		Caversham Airfield, Marmion Marine Park, Neerabup National Park, Bold Park, Carine Regional Open Space, Herdsman Lake Regional Park, Joondalup Resort, Lake Gnangara Park, Lake Gwelup Reserve, Lake Monger Reserve, Perth, Perth Airport (PER), Whiteman Park, Yellagonga Regional Park		0XD2014	0X14	-0X2DB60000	0X25F0000	0X2003400
2023-07-09 06:45:35		Alexander Heights, Ascot, Ashby, Ashfield, Aveley, Balcatta, Balga, Ballajura, Banksia Grove, Bassendean, Bayswater, Bedford, Beechboro, Beldon, Belhus, Bennett Brook, Bennett Springs, Brabham, Bullsbrook-West, Burns Beach, Carine, Carramar, Caversham, City Beach, Clarkson, Connolly, Craigie, Cullacabardee, Currambine, Daglish, Darch, Dayton, Dianella, Doubleview, Duncraig, Eden Hill, Edgewater, Ellen Brook, Ellenbrook, Embleton, Floreat, Geographe Bay, Girrawheen, Glendalough, Gnangara, Greenwood, Guildford, Gwelup, Hamersley, Hazelmere, Heathridge, Helena River, Henley Brook, Herdsman, High Wycombe, Highgate, Hillarys, Hocking, Iluka, Inglewood, Innaloo, Jandabup, Jane Brook, Jolimont, Joondalup, Joondanna, Kallaroo, Karrinyup, Kiara, Kingsley, Kinross, Koondoola, Lake Joondalup, Lake Monger, Landsdale, Leederville, Lexia, Lockridge, Madeley, Malaga, Marangaroo, Mariginiup, Mariginiup Lake, Marmion, Maylands, Melaleuca, Menora, Merriwa, Middle Swan, Midland, Mindarie, Mirrabooka, Morley, Mount Hawthorn, Mount Lawley, Mullaloo, Neerabup, Nollamara, Noranda, North Beach, North Perth, Ocean Reef, Osborne Park, Padbury, Pearsall, Perth Airport, Pinjar, Quinns Rocks, Redcliffe, Sawpit Gully, Scarborough, Sinagra, Sorrento, South Guildford, Stirling, Susannah Brook, Swan River, Tamala Park, Tapping, The Vines, Trigg, Tuart Hill, Viveash, Wangara, Wanneroo, Warwick, Watermans Bay, Wembley, Wembley Downs, West Perth, West Swan, Westminster, Whiteman, Woodbridge, Woodlands, Woodvale, Yokine		0X12014	0X14	-0X2DB60000	0X25F0000	0X2000400
2023-07-09 06:45:35		Applecross, Ardross, Attadale, Atwell, Aubin Grove, Bateman, Beaconsfield, Beckenham, Beeliar, Beenyup Brook, Belmont, Bentley, Bertram, Bibra Lake, Bickley Brook, Bicton, Booragoon, Brookdale, Bull Creek, Byford, Calista, Camillo, Canning River, Canning Vale, Cannington, Cardup Brook, Carlisle, Casuarina, Claremont, Cloverdale, Cockburn Central, Cockburn Sound, Como, Coogee, Coolbellup, Cottesloe, Crawley, Dalkeith, Darling Downs, East Fremantle, East Perth, East Victoria Park, Ferndale, Forrestdale, Forrestdale Lake, Fremantle, Garden Island, Geographe Bay, Gosnells, Hamilton Hill, Hammond Park, Harrisdale, Haynes, Henderson, Hilbert, Hope Valley, Huntingdale, Jandakot, Karawara, Kardinya, Karrakatta, Kensington, Kenwick, Kings Park, Kwinana Beach, Kwinana Town Centre, Lake Coogee, Langford, Leeming, Lynwood, Maddington, Manning, Medina, Melville, Mosman Park, Mount Claremont, Munster, Murdoch, Myaree, Naval Base, Nedlands, North Coogee, North Fremantle, North Lake, O'Connor, Oakford, Orelia, Palmyra, Parkwood, Parmelia, Peppermint Grove, Perth, Piara Waters, Postans, Queens Park, Riverton, Rivervale, Rossmoyne, Samson, Seville Grove, Shenton Park, South Fremantle, South Lake, South Perth, Southern River, Southern River, Spearwood, Subiaco, Success, Swan River, Swanbourne, The Spectacles, Thomsons Lake, Thornlie, Treeby, Victoria Park, Wandi, Waterford, Wattle Grove, Wattleup, Welshpool, Willagee, Willetton, Wilson, Winthrop, Woodman Channel, Wungong, Wungong Brook, Yangebup, Yangebup Lake		0X12014	0X14	-0X2DB60000	0X2600000	0X2000400
2023-07-09 06:45:36		1, 12, 13, 204, 5, 6, 61, 64, 65, 7, 71,  , Alfred Rd, Beach St, Beatrice Rd, Bibra Dr, Birdwood Pde, Broadway, Brockway Rd, Canning Highway, Carrington St, Cliff St, Clontarf Rd, Cockburn Rd, Curtin Ave, Davies Rd, Derby Rd, Doolette St, Douro Rd, East St, Elder Pl, Eric St, Farrington Rd, Finnerty St, Forrest Rd, Gugeri St, Hackett Dr, Hamilton Rd, Hampton Rd, High St, James St, Jutland Pde, Kings Park Rd, Kintail Rd, Kitchener Rd, Leach Highway, Leura Ave, Macleod Rd, Marine Pde, Marine Tce, Market St, Marmion St, Montgomery Ave, Mounts Bay Rd, Nash St, Nicholson Rd, North Lake Rd, North St, Ord St, Parry St, Petra St, Phillimore St, Pier St, Point Walter Rd, Port Beach Rd, Preston Point Rd, Queen Victoria St, Queenslea Dr, Railway Rd, Riseley St, Riverside Rd, Rochdale Rd, Rockingham Rd, Rokeby Rd, Rottnest Express, Selby St, Servetus St, Shenton Rd, South St, South Tce, Spearwood Ave, Stephenson Ave, Stirling Bridge, Stirling Highway, Stirling Rd, Stock Rd, The Avenue, Thomas St, Tydeman Rd, Vale St, Victoria Ave, Walter Pl, Wauhop Rd, West Coast Highway, Winterfold Rd, Winthrop Ave		0X142014	0X14	-0X5B750000	0X4C00001	0X2005000
2023-07-09 06:45:36		2, 204, 3, 60, 61, 64, 65, 71, 72, 75, 76, 81, 82, 83,  , All Saints Way, Anzac Rd, Arkana Rd, Bagot Rd, Balcatta Rd, Balga Ave, Barnes St, Beach Rd, Bishop Hale Way, Brady St, Brighton Rd, Brockway Rd, Brookdale Rd, Brookdale St, Cambridge St, Cedric St, Centro Ave, Challenger Pde, Cockman Rd, Davallia Rd, Duffy Rd, Duke St, Durston Rd, Elliott Rd, Empire Ave, Erindale Rd, Ewen St, Flynn St, Frobisher St, Gibson Ave, Girrawheen Ave, Gnangara Rd, Grantham St, Green St, Hale Rd, Harborne St, Hartman Dr, Hartman Dr, Hay St, Hector St W, Hepburn Av, Highclere Bvd, Howtree Pl, Jeanes Rd, Jon Sanders Drive, Karrinyup Rd, King Edward Rd, Kings Park Rd, Kingsway, Lake Monger Dr, Main St, Main St, Marangaroo Dr, Marmion Av, Mitchell Fwy, Morley Dr, Nollamara Ave, North Beach Rd, Oceanic Dr, Odin Rd, Okely Rd, Pearson St, Powis St, Princess Rd, Railway Rd, Reid Highway, Roberts Rd, Rottnest Fast Ferries, Sackville Tce, Scarborough Beach Rd, Selby St, Selby St N, Stephenson Ave, The Boulevard, Thomas St, Underwood Ave, Vincent St, Wanneroo Rd, Warwick Rd, Weaponess Rd, Wellington St, West Coast Dr, West Coast Highway, Whitfords Av		0X142014	0X14	-0X5B750000	0X4BF0001	0X2005000
